time,Beatrice,Bertha
1,25,4
2,0,0
3,0,4
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,6
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,51,0
21,0,0
22,0,0
23,0,0
24,5,0
25,21,4
26,11,0
27,50,20
28,38,0
29,0,0
30,50,10
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,6,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,4,5
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,13
70,0,13
71,0,0
72,0,0
73,0,0
74,0,13
75,0,6
76,0,0
77,22,27
78,24,0
79,0,36
80,14,39
81,4,0
82,0,0
83,5,18
84,4,7
85,0,0
86,0,0
87,0,14
88,0,8
89,0,9
90,0,0
91,0,0
92,0,0
93,7,0
94,0,4
95,0,0
96,0,0
97,0,0
98,0,0
99,0,6
100,0,0
101,0,0
102,0,0
103,0,32
104,0,0
105,0,0
106,0,0
107,0,10
108,0,0
109,0,0
110,0,0
111,0,0
112,49,13
113,4,0
114,0,0
115,0,0
116,0,0
117,0,0
118,114,5
119,0,0
120,6,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,4,50
127,23,27
128,5,69
129,0,58
130,0,0
131,0,6
132,0,0
133,0,0
134,4,0
135,0,0
136,0,0
137,0,0
138,18,0
139,0,0
140,7,7
141,0,0
142,26,4
143,0,0
144,9,24
145,0,4
146,0,21
147,0,0
148,49,27
149,0,9
150,5,0
151,0,0
152,0,0
153,9,46
154,0,0
155,0,0
156,11,0
157,36,42
158,0,13
159,0,23
160,0,5
161,0,0
162,0,6
163,0,19
164,0,10
165,22,5
166,0,0
167,10,0
168,0,16
169,13,6
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,5,0
184,0,0
185,0,0
186,27,12
187,163,10
188,5,0
189,0,10
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,32,65
197,0,15
198,0,47
199,0,0
200,15,0
201,52,15
202,158,0
203,81,44
204,56,193
205,0,0
206,0,0
207,0,5
208,0,0
209,4,0
210,0,34
211,0,0
212,4,152
213,0,9
214,5,99
215,180,170
216,87,144
217,54,141
218,0,0
219,0,15
220,0,11
221,0,9
222,13,66
223,0,0
224,0,6
225,0,0
226,0,0
227,0,0
228,0,0
229,0,6
230,0,0
231,9,15
232,0,39
233,6,16
234,0,11
235,0,0
236,0,7
237,0,0
238,0,0
239,0,0
240,0,0
241,0,0
242,0,0
243,0,0
244,0,73
245,12,0
246,4,8
247,0,0
248,0,13
249,4,0
250,0,10
251,0,0
252,0,0
253,0,0
254,0,0
255,4,0
256,0,0
257,0,0
258,4,14
259,0,0
260,0,0
261,111,86
262,9,88
263,4,7
264,6,14
265,7,7
266,10,4
267,4,5
268,0,0
269,4,0
270,15,0
271,0,0
272,4,4
273,7,0
274,5,0
275,0,0
276,11,0
277,4,0
278,0,7
279,0,0
280,0,0
281,0,0
282,7,67
283,0,0
284,4,0
285,16,37
286,13,149
287,49,52
288,0,0
289,5,0
290,0,0
291,0,0
292,5,0
293,0,0
294,0,0
295,5,80
296,0,0
297,0,5
298,0,0
299,0,0
300,0,0
301,0,0
302,0,0
303,0,10
304,0,0
305,0,0
306,4,11
307,5,0
308,4,76
309,4,10
310,108,208
311,0,0
312,56,143
313,0,15
314,0,50
315,4,121
316,265,208
317,125,306
318,69,134
319,127,97
320,217,262
321,57,33
322,218,71
323,50,258
324,78,81
325,240,68
326,24,0
327,5,0
328,13,5
329,34,18
330,0,13
331,0,0
332,48,25
333,5,0
334,361,149
335,267,60
336,573,729
337,69,4
338,37,7
339,91,117
340,71,15
341,152,7
342,26,0
343,53,81
344,69,35
345,38,0
346,50,63
347,90,56
348,70,6
349,5,0
350,0,0
351,0,0
352,0,0
353,0,4
354,0,0
355,0,0
356,0,0
357,0,0
358,0,0
359,0,0
360,0,0
361,0,0
362,0,0
363,0,53
364,6,34
365,0,0
366,0,0
367,4,0
368,0,0
369,0,0
370,0,0
371,0,0
372,0,0
373,0,0
374,0,0
375,0,0
376,0,0
377,7,0
378,0,0
379,0,0
380,0,0
381,0,0
382,0,0
383,0,0
384,0,0
385,0,0
386,0,0
387,0,0
388,0,0
389,0,0
390,0,0
391,0,0
392,4,0
393,15,5
394,110,12
395,45,44
396,280,140
397,447,335
398,259,277
399,84,363
400,0,212
401,28,14
402,270,68
403,147,21
404,82,145
405,352,262
406,418,384
407,68,77
408,243,466
409,225,263
410,33,257
411,0,0
412,0,0
413,0,0
414,0,0
415,0,0
416,0,0
417,0,0
418,0,0
419,0,0
420,0,0
421,0,0
422,0,0
423,0,0
424,0,0
425,0,0
426,0,0
427,0,0
428,0,0
429,5,0
430,0,0
431,0,0
432,0,0
433,0,0
434,0,0
435,0,0
436,0,0
437,0,0
438,18,0
439,0,0
440,0,0
441,0,0
442,0,0
443,0,0
444,4,0
445,0,0
446,0,0
447,0,0
448,0,0
449,0,0
450,0,0
451,0,0
452,0,0
453,0,0
454,0,0
455,0,0
456,0,0
457,0,0
458,0,0
459,0,0
460,0,0
461,0,0
462,0,0
463,22,0
464,0,0
465,4,0
466,0,0
467,0,0
468,0,0
469,0,0
470,0,0
471,0,0
472,0,0
473,0,0
474,0,0
475,0,0
476,0,0
477,0,0
478,0,0
479,0,0
480,0,0
481,0,0
482,0,0
483,0,0
484,0,0
485,0,0
486,0,0
487,0,0
488,0,5
489,0,0
490,0,0
491,0,0
492,0,0
493,0,0
494,0,0
495,6,23
496,0,7
497,14,238
498,335,571
499,403,458
500,206,10
501,402,10
502,81,428
503,114,195
504,89,343
505,281,368
506,373,919
507,158,21
508,48,51
509,5,534
510,301,0
511,167,48
512,297,740
513,195,432
514,98,366
515,136,238
516,32,44
517,27,659
518,18,562
519,238,901
520,12,168
521,122,140
522,245,490
523,267,810
524,255,131
525,26,154
526,19,206
527,5,96
528,11,113
529,426,133
530,92,15
531,124,13
532,49,95
533,26,635
534,0,281
535,21,148
536,17,1027
537,204,272
538,84,718
539,376,575
540,527,404
541,363,396
542,506,373
543,59,218
544,12,340
545,91,846
546,293,808
547,123,318
548,93,317
549,39,95
550,31,56
551,228,113
552,179,83
553,182,29
554,202,204
555,291,297
556,514,1138
557,733,726
558,188,174
559,40,462
560,53,260
561,402,720
562,187,414
563,457,575
564,12,251
565,0,337
566,4,158
567,130,80
568,404,143
569,30,337
570,285,402
571,330,546
572,273,703
573,294,450
574,25,548
575,25,308
576,129,607
577,61,114
578,89,70
579,5,409
580,0,368
581,392,891
582,183,44
583,12,409
584,340,52
585,31,634
586,186,371
587,160,575
588,114,44
589,294,151
590,8,159
591,34,106
592,13,108
593,121,384
594,109,310
595,311,362
596,265,491
597,192,40
598,451,137
599,303,302
600,169,122
601,198,104
602,38,116
603,220,221
604,484,286
605,202,49
606,239,272
607,288,0
608,227,85
609,10,4
610,10,96
611,6,39
612,251,68
613,330,349
614,9,0
615,140,49
616,84,15
617,31,19
618,158,13
619,46,11
620,62,0
621,173,4
622,26,133
623,9,8
624,198,55
625,313,11
626,332,289
627,32,36
628,231,514
629,203,0
630,5,150
631,49,51
632,56,45
633,233,321
634,42,678
635,410,495
636,448,331
637,129,228
638,118,152
639,269,157
640,172,78
641,153,39
642,194,21
643,388,85
644,47,116
645,237,96
646,423,145
647,446,927
648,58,91
649,38,46
650,294,275
651,24,0
652,0,0
653,12,491
654,0,219
655,165,63
656,223,821
657,77,257
658,344,16
659,268,500
660,243,338
661,313,267
662,173,226
663,143,323
664,204,80
665,603,115
666,41,106
667,138,361
668,4,194
669,129,1270
670,90,1057
671,325,930
672,365,668
673,300,991
674,737,888
675,173,1313
676,378,1325
677,780,609
678,60,4
679,236,38
680,51,13
681,31,4
682,14,4
683,48,0
684,48,0
685,48,58
686,64,179
687,57,16
688,38,10
689,90,18
690,43,7
691,51,42
692,166,52
693,11,37
694,23,60
695,86,50
696,26,37
697,45,225
698,4,4
699,5,5
700,19,4
701,30,8
702,77,150
703,365,124
704,212,143
705,209,418
706,141,50
707,82,5
708,49,0
709,250,11
710,29,18
711,174,0
712,89,0
713,44,209
714,255,347
715,26,10
716,22,13
717,51,11
718,42,6
719,77,48
720,62,205
721,14,0
722,6,133
723,52,7
724,17,11
725,43,10
726,0,4
727,0,0
728,0,0
729,0,0
730,0,0
731,0,0
732,0,0
733,0,4
734,0,0
735,0,0
736,0,0
737,0,0
738,0,7
739,0,0
740,61,12
741,17,9
742,9,35
743,9,0
744,32,4
745,8,131
746,215,99
747,41,8
748,194,120
749,329,0
750,14,105
751,4,315
752,326,437
753,93,27
754,0,4
755,10,59
756,117,457
757,326,453
758,0,44
759,11,184
760,130,14
761,31,5
762,31,290
763,103,5
764,117,511
765,14,162
766,44,7
767,164,297
768,71,275
769,20,248
770,0,165
771,0,51
772,142,662
773,124,24
774,312,161
775,31,347
776,58,468
777,4,139
778,39,155
779,266,294
780,0,0
781,48,9
782,227,384
783,201,308
784,20,152
785,0,36
786,4,158
787,10,7
788,4,0
789,0,49
790,0,199
791,30,194
792,12,41
793,25,0
794,11,400
795,9,49
796,316,561
797,663,1560
798,475,1164
799,155,61
800,15,47
801,86,26
802,46,25
803,44,115
804,54,84
805,258,182
806,244,35
807,36,80
808,109,29
809,246,102
810,146,65
811,122,100
812,91,468
813,207,612
814,89,184
815,45,112
816,65,34
817,40,27
818,274,229
819,45,30
820,160,74
821,93,140
822,55,63
823,42,26
824,6,22
825,7,67
826,17,4
827,0,0
828,5,18
829,0,0
830,14,12
831,4,11
832,12,0
833,67,15
834,0,4
835,0,28
836,0,0
837,0,0
838,0,0
839,0,0
840,0,0
841,0,0
842,4,7
843,0,0
844,20,9
845,100,13
846,0,7
847,54,263
848,250,263
849,53,743
850,25,55
851,176,255
852,15,30
853,60,74
854,72,243
855,60,11
856,43,0
857,33,5
858,185,214
859,50,249
860,50,506
861,384,741
862,180,626
863,209,425
864,142,203
865,213,45
866,111,219
867,59,104
868,42,152
869,282,50
870,4,202
871,164,236
872,88,119
873,22,155
874,288,0
875,406,392
876,26,350
877,30,198
878,197,220
879,111,553
880,152,0
881,29,11
882,678,24
883,42,6
884,707,416
885,29,909
886,316,330
887,52,200
888,9,68
889,0,203
890,6,0
891,164,0
892,216,171
893,243,0
894,220,231
895,314,367
896,195,134
897,204,247
898,106,9
899,152,199
900,191,138
901,52,172
902,36,391
903,199,573
904,58,322
905,36,256
906,106,0
907,124,0
908,0,0
909,116,106
910,133,119
911,140,496
912,355,352
913,177,838
914,341,902
915,85,303
916,59,377
917,20,171
918,95,0
919,18,28
920,20,643
921,191,755
922,141,33
923,149,583
924,114,28
925,283,388
926,198,255
927,25,262
928,271,107
929,395,205
930,83,8
931,153,286
932,258,4
933,221,536
934,58,280
935,48,20
936,163,19
937,147,150
938,58,50
939,29,90
940,418,324
941,145,6
942,345,636
943,18,157
944,21,18
945,268,372
946,221,358
947,168,178
948,80,198
949,101,204
950,158,175
951,221,299
952,107,244
953,158,263
954,110,68
955,287,401
956,221,125
957,343,266
958,54,703
959,101,132
960,62,638
961,176,317
962,149,301
963,106,547
964,42,385
965,135,618
966,96,292
967,197,520
968,183,245
969,60,135
970,348,206
971,92,127
972,56,98
973,90,129
974,325,254
975,22,143
976,77,488
977,773,361
978,39,4
979,180,7
980,34,19
981,40,10
982,21,43
983,129,17
984,680,14
985,332,356
986,68,254
987,171,33
988,486,148
989,151,224
990,281,29
991,200,258
992,39,547
993,233,115
994,186,251
995,184,14
996,364,212
997,119,96
998,63,164
999,87,157
1000,118,264
1001,236,47
1002,375,4
1003,107,16
1004,143,169
1005,220,5
1006,201,463
1007,274,422
1008,219,61
1009,110,114
1010,103,186
1011,247,162
1012,77,159
1013,185,69
1014,312,33
1015,494,27
1016,712,188
1017,190,328
1018,124,59
1019,398,376
1020,299,180
1021,209,281
1022,277,40
1023,291,30
1024,149,52
1025,623,21
1026,476,498
1027,71,430
1028,253,199
1029,111,356
1030,173,538
1031,158,0
1032,135,184
1033,420,242
1034,231,99
1035,278,362
1036,346,131
1037,129,182
1038,87,8
1039,118,143
1040,163,4
1041,197,80
1042,98,198
1043,169,45
1044,219,29
1045,61,123
1046,31,90
1047,25,24
1048,9,108
1049,5,69
1050,50,30
1051,335,62
1052,200,40
1053,170,53
1054,134,5
1055,222,73
1056,65,53
1057,268,53
1058,199,129
1059,312,57
1060,168,69
1061,132,25
1062,313,96
1063,25,81
1064,19,101
1065,11,47
1066,9,197
1067,12,196
1068,0,0
1069,4,0
1070,19,0
1071,14,178
1072,27,0
1073,191,53
1074,257,94
1075,372,286
1076,276,317
1077,259,320
1078,99,89
1079,11,25
1080,4,0
1081,24,8
1082,14,0
1083,108,0
1084,31,63
1085,22,643
1086,72,40
1087,27,36
1088,10,23
1089,17,13
1090,28,21
1091,12,4
1092,6,8
1093,5,5
1094,0,0
1095,0,0
1096,59,38
1097,10,0
1098,0,0
1099,16,0
1100,18,0
1101,30,27
1102,10,9
1103,5,25
1104,13,106
1105,20,0
1106,19,4
1107,9,13
1108,6,12
1109,0,4
1110,10,0
1111,19,37
1112,23,23
1113,16,53
1114,0,0
1115,18,32
1116,10,0
1117,12,21
1118,41,49
1119,6,0
1120,24,0
1121,23,0
1122,10,0
1123,53,0
1124,11,26
1125,6,4
1126,10,92
1127,60,9
1128,109,45
1129,11,26
1130,182,519
1131,184,219
1132,22,216
1133,28,649
1134,8,17
1135,4,10
1136,0,9
1137,81,6
1138,63,5
1139,63,0
1140,5,0
1141,43,11
1142,51,0
1143,0,0
1144,8,10
1145,25,5
1146,9,4
1147,0,0
1148,0,0
1149,0,0
1150,52,0
1151,0,0
1152,0,0
1153,0,0
1154,0,0
1155,23,0
1156,0,0
1157,0,0
1158,0,0
1159,0,0
1160,9,0
1161,0,21
1162,15,0
1163,15,0
1164,0,0
1165,4,0
1166,0,0
1167,0,0
1168,0,0
1169,11,0
1170,0,6
1171,0,0
1172,0,50
1173,15,0
1174,5,6
1175,0,0
1176,0,0
1177,0,0
1178,143,5
1179,5,0
1180,19,0
1181,0,0
1182,14,0
1183,17,4
1184,52,4
1185,5,0
1186,15,0
1187,13,0
1188,0,0
1189,4,0
1190,0,0
1191,0,0
1192,0,0
1193,0,94
1194,5,6
1195,0,0
1196,8,0
1197,18,0
1198,0,0
1199,91,0
1200,0,0
1201,0,0
1202,0,0
1203,0,0
1204,0,0
1205,0,0
1206,0,0
1207,8,0
1208,6,36
1209,0,0
1210,0,0
1211,0,0
1212,0,0
1213,0,0
1214,0,0
1215,13,0
1216,0,0
1217,0,0
1218,339,11
1219,53,6
1220,40,0
1221,11,0
1222,0,0
1223,0,0
1224,0,0
1225,29,6
1226,4,26
1227,26,18
1228,0,0
1229,12,0
1230,37,0
1231,17,0
1232,13,0
1233,17,0
1234,0,0
1235,54,0
1236,0,0
1237,0,0
1238,0,0
1239,12,0
1240,24,0
1241,0,0
1242,0,0
1243,0,0
1244,0,0
1245,0,0
1246,0,0
1247,0,0
1248,0,0
1249,0,0
1250,0,5
1251,4,0
1252,0,0
1253,0,0
1254,0,0
1255,0,0
1256,0,0
1257,0,0
1258,0,0
1259,10,0
1260,0,0
1261,0,4
