time,Avior,Josephine
1,0,31
2,0,0
3,0,4
4,0,12
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,194
44,0,143
45,0,532
46,0,175
47,0,11
48,0,10
49,0,0
50,0,0
51,0,30
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,9,16
59,0,0
60,0,0
61,0,4
62,0,5
63,0,0
64,0,0
65,0,0
66,0,26
67,14,234
68,0,104
69,0,11
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,6,0
77,0,0
78,0,0
79,0,8
80,0,0
81,16,35
82,40,0
83,0,0
84,0,0
85,31,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,20,4
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,239
122,0,465
123,0,193
124,0,515
125,0,234
126,0,147
127,0,454
128,0,261
129,0,277
130,0,85
131,0,5
132,0,0
133,0,0
134,0,0
135,15,0
136,0,4
137,0,5
138,0,0
139,0,0
140,0,0
141,0,0
142,16,0
143,211,5
144,4,338
145,354,465
146,230,214
147,368,945
148,345,312
149,592,452
150,470,0
151,405,62
152,508,425
153,307,277
154,140,364
155,568,31
156,244,0
157,7,211
158,77,287
159,886,19
160,989,16
161,488,36
162,422,6
163,745,0
164,445,15
165,989,11
166,448,270
167,169,0
168,341,0
169,242,5
170,66,0
171,164,0
172,174,0
173,0,0
174,30,0
175,415,10
176,68,15
177,294,12
178,208,0
179,370,236
180,331,117
181,339,36
182,172,4
183,0,0
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,0,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,0,15
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,13,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
211,0,4
212,0,0
213,0,0
214,0,9
215,0,13
216,0,0
217,0,0
218,0,0
219,0,0
220,0,11
221,0,0
222,0,23
223,0,0
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,0,0
230,0,0
231,0,0
232,389,0
233,197,0
234,0,0
235,0,6
236,30,5
237,0,0
238,0,4
239,16,0
240,0,0
241,0,0
242,0,16
243,0,22
244,0,4
245,0,6
246,0,0
247,0,0
248,27,0
249,31,0
250,0,0
251,34,0
252,0,0
253,0,70
254,30,56
255,62,13
256,0,23
257,0,24
258,0,8
259,0,0
260,14,16
261,0,57
262,172,132
263,329,192
264,74,193
265,0,0
266,0,0
267,0,4
268,0,0
269,0,0
270,0,0
271,0,0
272,0,0
273,0,0
274,0,0
275,0,0
276,13,0
277,0,0
278,0,0
279,0,0
280,0,10
281,0,46
282,182,48
283,131,4
284,117,9
285,35,0
286,267,0
287,7,0
288,47,21
289,171,5
290,537,4
291,1024,43
292,1006,18
293,99,21
294,50,0
295,93,0
296,78,5
297,525,8
298,434,0
299,255,18
300,267,0
301,146,4
302,514,35
303,486,21
304,83,18
305,521,13
306,398,0
307,28,0
308,85,5
309,32,0
310,147,122
311,131,83
312,78,59
313,390,437
314,359,122
315,318,33
316,90,206
317,163,202
318,43,4
319,1112,911
320,650,1048
321,279,36
322,593,9
323,255,179
324,556,388
325,637,32
326,149,4
327,151,283
328,317,0
329,452,0
330,691,17
331,890,96
332,1219,390
333,1016,408
334,1677,40
335,1534,222
336,713,79
337,1085,42
338,937,315
339,574,78
340,656,56
341,742,0
342,467,136
343,362,64
344,95,279
345,25,79
346,131,119
347,211,203
348,387,294
349,269,212
350,14,0
351,0,0
352,53,0
353,319,0
354,232,0
355,0,15
356,0,0
357,0,0
358,0,7
359,0,0
360,0,0
361,5,0
362,0,53
363,0,0
364,0,6
365,0,0
366,0,0
367,0,0
368,0,0
369,5,0
370,7,0
371,0,0
372,0,0
373,0,0
374,0,0
375,10,0
376,0,0
377,0,0
378,0,0
379,0,0
380,0,0
381,0,0
382,5,125
383,0,0
384,0,0
385,0,0
386,35,21
387,25,22
388,0,17
389,25,4
390,0,0
391,0,5
392,26,0
393,0,5
394,0,0
395,0,12
396,0,0
397,0,17
398,0,0
399,0,0
400,0,0
401,0,0
402,0,6
403,0,8
404,0,0
405,0,5
406,0,4
407,31,21
408,0,8
409,20,7
410,10,0
411,0,0
412,12,0
413,0,11
414,62,27
415,174,17
416,210,5
417,0,0
418,174,14
419,210,0
420,4,118
421,15,284
422,0,186
423,0,376
424,5,151
425,0,11
426,0,0
427,0,0
428,0,8
429,0,17
430,0,0
431,0,11
432,0,0
433,4,0
434,0,0
435,0,0
436,0,0
437,0,0
438,0,9
439,0,0
440,0,0
441,0,9
442,0,4
443,0,9
444,0,19
445,0,0
446,0,5
447,0,0
448,117,17
449,122,207
450,259,369
451,231,373
452,151,244
453,159,43
454,62,346
455,309,161
456,18,63
457,0,294
458,101,306
459,183,163
460,219,125
461,726,480
462,449,450
463,134,299
464,232,213
465,466,10
466,125,71
467,18,274
468,238,96
469,250,62
470,28,75
471,25,164
472,666,809
473,754,276
474,374,271
475,417,152
476,656,16
477,393,295
478,336,170
479,271,41
480,454,19
481,174,17
482,447,297
483,294,62
484,107,13
485,38,4
486,158,13
487,86,14
488,175,0
489,84,0
490,385,0
491,72,15
492,552,544
493,326,246
494,204,311
495,394,333
496,487,216
497,537,4
498,208,257
499,0,304
500,8,293
501,469,70
502,270,13
503,317,14
504,36,542
505,214,402
506,320,169
507,455,121
508,4,325
509,205,340
510,14,136
511,179,208
512,394,453
513,4,671
514,0,172
515,7,244
516,18,101
517,396,132
518,266,346
519,105,346
520,0,73
521,95,36
522,0,94
523,6,35
524,148,40
525,0,40
526,170,19
527,493,61
528,196,34
529,150,31
530,0,283
531,134,28
532,437,41
533,461,134
534,12,377
535,5,236
536,4,99
537,22,272
538,301,142
539,29,178
540,442,99
541,624,394
542,324,251
543,0,324
544,15,323
545,4,402
546,329,50
547,127,33
548,471,15
549,251,104
550,447,313
551,64,207
552,12,239
553,30,465
554,11,280
555,533,130
556,417,12
557,332,58
558,370,23
559,130,13
560,232,180
561,301,495
562,261,335
563,5,293
564,0,91
565,0,48
566,0,52
567,14,504
568,70,136
569,237,15
570,523,86
571,398,96
572,55,0
573,47,24
574,12,316
575,553,175
576,128,481
577,106,492
578,85,337
579,133,57
580,146,130
581,245,79
582,198,82
583,86,494
584,57,78
585,6,19
586,311,41
587,14,12
588,93,39
589,114,744
590,280,136
591,189,41
592,162,19
593,318,94
594,1002,391
595,916,83
596,827,902
597,31,382
598,20,126
599,9,99
600,37,107
601,77,69
602,33,284
603,60,61
604,12,60
605,40,276
606,81,63
607,14,351
608,196,211
609,745,45
610,530,425
611,724,59
612,121,70
613,91,138
614,226,99
615,42,360
616,241,92
617,456,6
618,47,128
619,122,43
620,4,42
621,12,30
622,508,93
623,84,130
624,351,140
625,112,26
626,0,169
627,16,152
628,63,201
629,70,19
630,0,59
631,45,153
632,74,233
633,109,85
634,109,290
635,4,14
636,424,0
637,150,0
638,365,391
639,409,263
640,150,92
641,585,80
642,153,9
643,76,32
644,142,38
645,145,54
646,399,186
647,122,0
648,58,0
649,127,4
650,208,14
651,0,0
652,200,101
653,629,18
