,Species,Sociality,Nestbuild,Activity,study.day,Experiment,ID,dayvars.counts,dayvars.cpm,TTST,night.cpm,day.from.zero,Session
1,Eulemur,social,nonnester,cathemeral,1,base,Aria,325763,226.2243056,553,169.7089744,-6,0
2,Eulemur,social,nonnester,cathemeral,2,base,Aria,290395,201.6631944,520,131.3487179,-5,0
3,Eulemur,social,nonnester,cathemeral,3,base,Aria,320603,222.6409722,562,141.4333333,-4,0
4,Eulemur,social,nonnester,cathemeral,4,base,Aria,241954,168.0236111,593,84.99358974,-3,0
5,Eulemur,social,nonnester,cathemeral,5,base,Aria,222414,154.4541667,600,112.3461538,-2,0
6,Eulemur,social,nonnester,cathemeral,6,base,Aria,269798,187.3597222,530,117.224359,-1,0
7,Eulemur,social,nonnester,cathemeral,7,absence,Aria,289963,201.3631944,505,116.0666667,0,1
8,Eulemur,social,nonnester,cathemeral,8,absence,Aria,228074,158.3847222,571,71.66538462,1,1
9,Eulemur,social,nonnester,cathemeral,9,absence,Aria,300654,208.7875,591,80.73076923,2,1
10,Eulemur,social,nonnester,cathemeral,10,absence,Aria,326282,226.5847222,495,99.63717949,3,1
11,Eulemur,social,nonnester,cathemeral,11,absence,Aria,292741,203.2923611,544,89.79102564,4,1
12,Eulemur,social,nonnester,cathemeral,12,absence,Aria,278599,193.4715278,559,94.08717949,5,1
13,Eulemur,social,nonnester,cathemeral,13,absence,Aria,309657,215.0395833,585,59.02820513,6,1
14,Eulemur,social,nonnester,cathemeral,14,enhance,Aria,363835,252.6631944,491,129.724359,7,2
15,Eulemur,social,nonnester,cathemeral,15,enhance,Aria,233578,162.2069444,598,56.59358974,8,2
16,Eulemur,social,nonnester,cathemeral,16,enhance,Aria,267327,185.64375,574,43.89358974,9,2
17,Eulemur,social,nonnester,cathemeral,17,enhance,Aria,288705,200.4895833,563,66.42435897,10,2
18,Eulemur,social,nonnester,cathemeral,18,enhance,Aria,242309,168.2701389,611,50.31538462,11,2
19,Eulemur,social,nonnester,cathemeral,19,enhance,Aria,243015,168.7604167,580,54.57564103,12,2
20,Eulemur,social,nonnester,cathemeral,20,enhance,Aria,309927,215.2270833,527,65.28717949,13,2
21,Eulemur,social,nonnester,cathemeral,1,base,Geb,149184,103.6,625,75.35769231,-6,0
22,Eulemur,social,nonnester,cathemeral,2,base,Geb,179422,124.5986111,621,72.77179487,-5,0
23,Eulemur,social,nonnester,cathemeral,3,base,Geb,166528,115.6444444,630,60.96794872,-4,0
24,Eulemur,social,nonnester,cathemeral,4,base,Geb,140319,97.44375,637,49.69358974,-3,0
25,Eulemur,social,nonnester,cathemeral,5,base,Geb,127628,88.63055556,689,60.56153846,-2,0
26,Eulemur,social,nonnester,cathemeral,6,base,Geb,151479,105.19375,657,54.9,-1,0
27,Eulemur,social,nonnester,cathemeral,7,enhance,Geb,130898,90.90138889,612,48.40769231,0,1
28,Eulemur,social,nonnester,cathemeral,8,enhance,Geb,96494,67.00972222,614,31.92564103,1,1
29,Eulemur,social,nonnester,cathemeral,9,enhance,Geb,120574,83.73194444,636,27.9474359,2,1
30,Eulemur,social,nonnester,cathemeral,10,enhance,Geb,145523,101.0576389,550,41.43205128,3,1
31,Eulemur,social,nonnester,cathemeral,11,enhance,Geb,116955,81.21875,672,32.45897436,4,1
32,Eulemur,social,nonnester,cathemeral,12,enhance,Geb,126221,87.65347222,705,25.12435897,5,1
33,Eulemur,social,nonnester,cathemeral,13,enhance,Geb,127238,88.35972222,704,20.36923077,6,1
34,Eulemur,social,nonnester,cathemeral,14,absence,Geb,177288,123.1166667,505,65.45641026,7,2
35,Eulemur,social,nonnester,cathemeral,15,absence,Geb,135339,93.98541667,514,43.36153846,8,2
36,Eulemur,social,nonnester,cathemeral,16,absence,Geb,158138,109.8180556,533,28.95128205,9,2
37,Eulemur,social,nonnester,cathemeral,17,absence,Geb,152189,105.6868056,599,46.6,10,2
38,Eulemur,social,nonnester,cathemeral,18,absence,Geb,138870,96.4375,645,29.24615385,11,2
39,Eulemur,social,nonnester,cathemeral,19,absence,Geb,173539,120.5131944,606,41.52564103,12,2
40,Eulemur,social,nonnester,cathemeral,20,absence,Geb,201373,139.8423611,555,35.54615385,13,2
41,Lemur,high.social,nonnester,cathemeral,1,base,Persephone,222698,154.6513889,559,75.16944444,-6,0
42,Lemur,high.social,nonnester,cathemeral,2,base,Persephone,227764,158.1694444,568,74.7125,-5,0
43,Lemur,high.social,nonnester,cathemeral,3,base,Persephone,181571,126.0909722,579,34.64861111,-4,0
44,Lemur,high.social,nonnester,cathemeral,4,base,Persephone,211936,147.1777778,538,103.9819444,-3,0
