Species,Experiment,Session
Eulemur,base,0
Eulemur,base,0
Eulemur,base,0
Eulemur,base,0
Eulemur,base,0
Eulemur,base,0
Eulemur,absence,1
Eulemur,absence,1
Eulemur,absence,1
Eulemur,absence,1
Eulemur,absence,1
Eulemur,absence,1
Eulemur,absence,1
Eulemur,enhance,2
Eulemur,enhance,2
Eulemur,enhance,2
Eulemur,enhance,2
Eulemur,enhance,2
Eulemur,enhance,2
Eulemur,enhance,2
Eulemur,base,0
Eulemur,base,0
Eulemur,base,0
Eulemur,base,0
Eulemur,base,0
Eulemur,base,0
Eulemur,enhance,1
Eulemur,enhance,1
Eulemur,enhance,1
Eulemur,enhance,1
Eulemur,enhance,1
Eulemur,enhance,1
Eulemur,enhance,1
Eulemur,absence,2
Eulemur,absence,2
Eulemur,absence,2
Eulemur,absence,2
Eulemur,absence,2
Eulemur,absence,2
Eulemur,absence,2
Lemur,base,0
Lemur,base,0
Lemur,base,0
Lemur,base,0
Lemur,base,0
Lemur,base,0
Lemur,absence,1
Lemur,absence,1
Lemur,absence,1
Lemur,absence,1
Lemur,absence,1
Lemur,absence,1
Lemur,absence,1
Lemur,enhance,2
Lemur,enhance,2
Lemur,enhance,2
Lemur,enhance,2
Lemur,enhance,2
Lemur,enhance,2
Lemur,enhance,2
Lemur,base,0
Lemur,base,0
Lemur,base,0
Lemur,base,0
Lemur,base,0
Lemur,base,0
Lemur,enhance,1
Lemur,enhance,1
Lemur,enhance,1
Lemur,enhance,1
Lemur,enhance,1
Lemur,enhance,1
Lemur,enhance,1
Lemur,absence,2
Lemur,absence,2
Lemur,absence,2
Lemur,absence,2
Lemur,absence,2
Lemur,absence,2
Lemur,absence,2
Propithecus,base,0
Propithecus,base,0
Propithecus,base,0
Propithecus,base,0
Propithecus,base,0
Propithecus,base,0
Propithecus,base,0
Propithecus,enhance,1
Propithecus,enhance,1
Propithecus,enhance,1
Propithecus,enhance,1
Propithecus,enhance,1
Propithecus,enhance,1
Propithecus,enhance,1
Propithecus,absence,2
Propithecus,absence,2
Propithecus,absence,2
Propithecus,absence,2
Propithecus,absence,2
Propithecus,absence,2
Propithecus,absence,2
Propithecus,base,0
Propithecus,base,0
Propithecus,base,0
Propithecus,base,0
Propithecus,base,0
Propithecus,base,0
Propithecus,base,0
Propithecus,absence,1
Propithecus,absence,1
Propithecus,absence,1
Propithecus,absence,1
Propithecus,absence,1
Propithecus,absence,1
Propithecus,absence,1
Propithecus,enhance,2
Propithecus,enhance,2
Propithecus,enhance,2
Propithecus,enhance,2
Propithecus,enhance,2
Propithecus,enhance,2
Propithecus,enhance,2
Varecia,base,0
Varecia,base,0
Varecia,base,0
Varecia,base,0
Varecia,base,0
Varecia,base,0
Varecia,base,0
Varecia,absence,1
Varecia,absence,1
Varecia,absence,1
Varecia,absence,1
Varecia,absence,1
Varecia,absence,1
Varecia,absence,1
Varecia,enhance,2
Varecia,enhance,2
Varecia,enhance,2
Varecia,enhance,2
Varecia,enhance,2
Varecia,enhance,2
Varecia,enhance,2
Varecia,base,0
Varecia,base,0
Varecia,base,0
Varecia,base,0
Varecia,base,0
Varecia,base,0
Varecia,base,0
Varecia,enhance,1
Varecia,enhance,1
Varecia,enhance,1
Varecia,enhance,1
Varecia,enhance,1
Varecia,enhance,1
Varecia,enhance,1
Varecia,absence,2
Varecia,absence,2
Varecia,absence,2
Varecia,absence,2
Varecia,absence,2
Varecia,absence,2
Varecia,absence,2
